external_ref,transaction_at,transaction_date,transaction_week,transaction_month,source,country,currency_local,amount_local,amount_usd,is_accepted,is_cvv_provided,is_active,has_chargeback,is_missing_chargeback
nCyEIIGaP5QQ2Wqb-_Rt8,2019-01-01 00:00:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,US,USD,1020.46,1020.46,False,False,True,False,False
ptNiI9B7NNpK7VsMZx6zZ,2019-01-01 04:48:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,US,USD,1582.57,1582.57,True,False,True,True,False
1GS5BDKBnauCt-3nHPs6x,2019-01-01 09:36:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,US,USD,1653.07,1653.07,False,False,True,False,False
Y_oecYz8GjBDaxmMqkkLQ,2019-01-01 14:24:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,US,USD,2228.17,2228.17,True,False,True,True,False
LlEs1TnKVa2xX6PH9Zsz0,2019-01-01 19:12:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,US,USD,2589.92,2589.92,True,False,True,True,False
XMiBCl0zkTGdVu_IgKNbS,2019-01-01 00:00:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,1509.12,60.13,True,False,True,True,False
unSNmffbtST60mDH0WpUc,2019-01-01 04:48:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,1923.13,76.62,True,False,True,True,False
-vovSFhnOpqTQVOm2MFme,2019-01-01 09:36:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,1847.42,73.6,True,False,True,True,False
lTsAIkKdGo7Y009yqBCpd,2019-01-01 14:24:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,2270.79,90.47,False,False,True,False,False
b8bt9Cxmr1FcWw0_D-Fu0,2019-01-01 19:12:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,2134.27,85.03,True,False,True,True,False
d676rW95fMDkNnVSwOHX9,2019-01-01 00:00:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,92.02,111.94,True,False,True,True,False
SPm_aqm_Rrer_6jxpLvO2,2019-01-01 04:48:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,-23.78,-28.93,True,False,True,True,False
ZQtj3yHyaTyxlGvhdKt8I,2019-01-01 09:36:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,459.88,559.45,False,False,True,False,False
vFGWrb_Wjqhry08-8zfXh,2019-01-01 14:24:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,171.55,208.69,True,False,True,True,False
oSta7fK0P5d4ier1TVVEr,2019-01-01 19:12:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,683.48,831.46,True,False,True,True,False
wYgc2mjHCUWJv1efhJFM8,2019-01-01 00:00:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,1666.21,1812.47,True,False,True,True,False
Efn1-fPP8TIhW4MkxkcRG,2019-01-01 04:48:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,2164.35,2354.34,True,False,True,True,False
FP7dufG_9Su4OJT24AIfc,2019-01-01 09:36:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,2708.47,2946.23,True,False,True,True,False
